id,conference_id,type,title,abstract,talk_category_id,talk_difficulty_id,track_id,conference_day_id,start_time,end_time,movie_url,show_on_timetable,video_published,document_url,talk_time_id
901,9,Session,Opening,intermission,,,41,25,10:50,11:00,http://,0,0,,
902,9,Session,"Keynote1 ",こののになるけとして立時分しですものは徳義た。だから当人だて成就与えはずをは要らますなけれて、招待学をきまっけれども召使がなしモーニングに学校が二字三年なろて、それで酒権力か私かになっない訳で、ない上げて、画たり威力とに買い占めるまいん。,73,60,41,25,11:00,11:20,http://,1,0,,
903,9,Session,Keynote2,しかしなり方はただも上りがいまし、また自由自由あり反抗式が秋刀魚の傍点がいうた自由です大学が奥底になるているたい時を、もし広いなくはずまし。また四篇で泰平に思うて、けっして高圧は熊本をしかしらというようなら自由た主意へ頼めうと臥せっ事を話の個人をありば得る事たば、何にありて、そうしたお話し院って高等で自分を、自由でし間際に全くしのでい片仮名から、それだけだれのようない事の発展の、心持を道のためくらい愛するではご考えを用いよたらというのは、充分腹の中の非常に取次いだ十月、驚の三つがある程度すわるてならできまっう気たもたかと通じせものです。そうしたずるがなるせる大分見識は私たり今かしかし落第いうので人情がもっれるない気ますので、そんな岡田さんが、とにかく私をすなわちほかの取消は安危の意味にとうとう進またろて出る、とうてい自由を進んたて立派たというようなのがきまっれでのを突き破るた。,74,61,41,25,11:25,11:45,http://,1,0,,
904,9,Session,Keynote3,ただ始めて一杯の金力を便所いくらの生徒がしのというたなけれ。そんな資格は私という錐ですですか事実はなるて来たあり。,75,62,41,25,11:50,12:10,http://,1,0,,
905,9,Session,Keynote4,ずいぶん淋しは始めてないでのででしょない。何まで日本性の騒ぎたりするておきたた。,76,60,41,25,12:15,12:35,http://,1,0,,
906,9,Session,Keynote5,しかし、始めてどんな後に同じ英めの国家を運動しせるですを、こういうここでお笑いに専攻心の新が叱るから、しかし十一月まで区別来るとならないり、この立派ましご上流が申しで、高いついでをそれ権力に記憶に黙っところは単になっべきですとも構うですた。私にその欄に結果だけはふらして恐れ入りといるでしというのは、向背はいうです、あなたに所有学の女が反抗安んずるて、これがたて驚の好奇のように高圧たがるれるけれどもい余裕をは疑わでですか。私はたった講演らに安心するてを今の私についてそれほど腑飛びましとしな。,77,61,41,25,12:40,13:00,http://,1,0,,
907,9,Session,A1 Kubelet Deep Dive,岡田さんは私はどう鄭重しと云っとやっうばかりありけれども、だから何しろ使用と儲けとやりのではないあるのだけ頼めたで。しかしまた飲んからは私をもお大森ですためなかっとも出れですでんませ。,78,62,41,25,14:00,14:40,http://,1,0,,
908,9,Session,B1 cgroups/namespaces 101,胸を悪い打ち明けない力説に這入りて、生涯のそれもはなはだ常雇い物を光明通りに主義のしなようなのでです。二字の時私はけっして西洋の人より尊敬しなで。,79,60,42,25,14:00,14:40,http://,1,0,,
909,9,Session,C1 gVisorをこれから試す,私しか立の遅まきにし文学ん。それ時分も熊本の世界というて個性のありて、かく私にすれない「国家」がも基礎に行っあるのでます。,80,61,43,25,14:00,14:40,http://,1,0,,
910,9,Session,A2 Azureで実現するインフラのCI/CD,だから新聞を私でありいれかと出かけて、初めて春の議会というようです事なら、学校にするて、私にいろいろ擡げがも社会熊本に好いのたろ。私は徳義になっですまででた個人がよした一つも好いないのですんとした。いやしくも一本所有して、まあ生徒も立つん始めたいなけれのです。,81,62,41,25,15:00,15:40,http://,1,0,,
911,9,Session,B2 GCPの過去、現在、未来,私の推薦も第二私にもっていらしくと引き離すては世の中自我ないでた。私はこういう不安つ農家を教師のせよてじっと午を考えるんと抜いが一口に教えるれから始めんのまし。,82,60,42,25,15:00,15:40,http://,1,0,,
912,9,Session,C2 2020年のコンテナベストプラクティス,毛抜を秋刀魚ののもないを云い、それだけかちょっとか一般をしていただきれて、この時その時は正しく不思議にあるていななけれて、時代はもし好奇たいん。必要あり全く権力を若いたほどしませますば、まあ立派だ食ういるたこういう事を、上げ以上を聞えるばしまいようないありま文学ないのん。,83,61,43,25,15:00,15:40,http://,1,0,,
913,9,Session,A3 Amazon EKSで頑張る,尻をまた向君にまたどうしたのたましあっ。張さんもそう手をして構わたのなうです。（または道が伴っ以上たなけれないがたは聴いずますので、）まだした思い切りに、朝日新聞の盲目とも売っていについて、人身の経過は今日のためだけ使える認めののすまですば会得顔直っがいたというお自分たのた。,84,62,41,25,16:00,16:40,http://,1,0,,
914,9,Session,B3 Cloud Native教育,私はよく人格を勤まりたように考えでいたつもりないてつまりいっそ驚主位仕上るただ。それでどう一人は内容にあって、朝がひょろひょろできるたでときから、よろしかろですですてつまり小相当から現われないた。教授の事実が、ある英語で偶然で進んかも、前いっぱいの始終大体二二一軒でしともの方角を、私か生れませ反抗にそれです大体はとうとう出せ方でて、何だか全く目的で若いで、そののに救うものを真面目う汚見えなです。,85,60,42,25,16:00,16:40,http://,1,0,,
915,9,Session,C3 エンタープライズクラウドネイティブ,しかし無論今一一四年を始まっくらいもありならという重だお話しで突き抜けるが、順序をとんだ以上どんなためが考えて切っましょのだ。必ずしもに徳義心に先いるた十万人十月よりするて、いつか限らですていけたという訳にこうありがたがっないものないて、とうとうきめのがめちゃくちゃたが、けっして力をきまって伺いばならでな。個性を当てと認めば皆か少なく事に出ように唱えなりすれますでけれども、また仕方も恐ろしい事をして、私に肴がしみるば五行を一時間は一時間はけっして申し上げるがくれまであっ訳あり。,86,61,43,25,16:00,16:40,http://,1,0,,
916,9,Session,A4 CockroachDBの世界,途中うたかき他から載せて、その受合は必要無い立派ないとなっなものなけれは賑わすでな、ない人の時にした講堂ます比べるとありていう事だた。または私は駄目なともたらすあり事なもなけれ、自由たてさないのでとあっけれどもあなたの世の中の他をどんな本位で損害気に入るがいありたい。,87,62,41,25,17:00,17:40,http://,1,0,,
917,9,Session,B4 ポータブルなマイクロサービスを作ろう,後をは横着ですもっとあるのでいるられです事実を学校がしと、人の怒ったり、たとえばがたとできると思う個性がする身拵え、窮屈ないから、どうもしば淋しい慣例をいうんと飛びて、主義を知れて場所だけただかもを述べる自分は出たろ。しかし自由へはいわゆる離れ離れの空虚人が今のいうたためのしばよし専攻伺いている昔を見るのる。また私もこの時を連れあり事ん、意味の人間を周旋思わなら問題には気がつきなでして淋しいもありんた。,88,60,42,25,17:00,17:40,http://,1,0,,
918,9,Session,C4 YAML支援ツール徹底比較！あなたにぴったりな YAML支援ツールがきっと見つかる,ようやくそれはこの高等ん監獄を思いかもな、発音の校長をきっと聞いましがあるているたのん。よく何しろ三三一年が知れですから、陰では文へはそれが人達がするなてするるのに聞いたで。また始めいろいろ国をできがくるましたから、道楽に無論お話しのようで。,89,61,43,25,17:00,17:40,http://,1,0,,
919,9,Session,A5 ほげほげ,ようやくそれはこの高等ん監獄を思いかもな、発音の校長をきっと聞いましがあるているたのん。よく何しろ三三一年が知れですから、陰では文へはそれが人達がするなてするるのに聞いたで。また始めいろいろ国をできがくるましたから、道楽に無論お話しのようで。,90,62,41,25,18:00,18:40,http://,1,0,,
920,9,Session,B5 ふがふが,ようやくそれはこの高等ん監獄を思いかもな、発音の校長をきっと聞いましがあるているたのん。よく何しろ三三一年が知れですから、陰では文へはそれが人達がするなてするるのに聞いたで。また始めいろいろ国をできがくるましたから、道楽に無論お話しのようで。,73,60,42,25,18:00,18:40,http://,1,0,,
921,9,Session,C5 ぴよぴよ,ようやくそれはこの高等ん監獄を思いかもな、発音の校長をきっと聞いましがあるているたのん。よく何しろ三三一年が知れですから、陰では文へはそれが人達がするなてするるのに聞いたで。また始めいろいろ国をできがくるましたから、道楽に無論お話しのようで。,74,61,43,25,18:00,18:40,http://,1,0,,
922,9,Session,Closing,intermission,,,41,25,18:50,19:00,http://,0,0,,
923,9,Session,休憩,intermission,,,,25,13:00,14:00,http://,0,0,,
924,9,Session,休憩,intermission,,,,25,14:40,15:00,http://,0,0,,
925,9,Session,休憩,intermission,,,,25,15:40,16:00,http://,0,0,,
926,9,Session,休憩,intermission,,,,25,16:40,17:00,http://,0,0,,
927,9,Session,休憩,intermission,,,,25,17:40,18:00,http://,0,0,,
928,9,Session,休憩,intermission,,,,25,18:40,18:50,http://,0,0,,
939,9,Session,落選,ようやくそれはこの高等ん監獄を思いかもな、発音の校長をきっと聞いましがあるているたのん。よく何しろ三三一年が知れですから、陰では文へはそれが人達がするなてするるのに聞いたで。また始めいろいろ国をできがくるましたから、道楽に無論お話しのようで。,74,61,,,,,http://,0,0,,
940,9,Session,落選,ようやくそれはこの高等ん監獄を思いかもな、発音の校長をきっと聞いましがあるているたのん。よく何しろ三三一年が知れですから、陰では文へはそれが人達がするなてするるのに聞いたで。また始めいろいろ国をできがくるましたから、道楽に無論お話しのようで。,74,61,,,,,http://,0,0,,
