id,name,profile,company,job_title,twitter_id,github_id
1,高石 諒,かっこうはさきの息一疋手にセロから踏ん窓ました。,"GMO Pepabo, inc.",Software Engineer,r_takaishi,takaishi
2,三輪 昌光,だって少しだめたまして狩やだろ。,株式会社シー・エフ・ピー,Infrastructure Engineer,hoge,fuga
3,山岸 克明,下手うましんだはましだから手のいい気あたりのうちにはどうもいい気だろなて、何ばかり眼を合わられんだった。,acroCloudNative,Infrastructure Engineer,realDonaldTrump,donaldtrump
4,菅 友,さわりすぎみんなはゴーシュへ明るくたてこんどの野ねずみの手汁が云い第一おっかさん曲の司会をして来ないた。,airCloudNative,Marketing,twi1,github1
5,藤原 有,音は今度見つめて行くた。,arcCloudNative,Manager,twi2,github2
6,神谷 明博,ジャズも二わらいだいのようへなるてやっます。,artCloudNative,Infrastructure Engineer,twi3,github3
7,上村 智,血は糸楽長と君で教えるがしまいまし。,bitCloudNative,Software Engineer,twi4,github4
8,笠井 三男,子も子のしばらくとなって先生を川のようにしてあたりへ帰っでやっと晩をしてやるた。,bizCloudNative,Software Engineer,twi5,github5
9,山岸 雄樹,何だかやっとうちを扉を叩くだた。,boxCloudNative,Manager,twi6,github6
10,篠原 長一郎,ここらまだにかっこうから聞いてからだをぶっつけですます。,brainCloudNative,CEO,twi7,github7
11,川村 昭子,おかげがまげでしまし。,channelCloudNative,CTO,twi8,github8
12,大野 俊郎,「風車でなりだ。,cityCloudNative,Application Engineer,twi9,github9
13,福島 健児,虎、おれに楽長。,comCloudNative,Software Engineer,twi10,github10
14,奥村 秀司,なり。」,commoCloudNative,Infrastructure Engineer,twi11,github11
15,大川 文典,やつも今夜の限りのまた前のなかが云わでしまし。,conCloudNative,Infrastructure Engineer,twi12,github12
16,金田 友恵,虎はゴーシュでばかあかしにして扉にゴーシュをまわりでぱちぱち今日あるれだろなかが云いました。,craftCloudNative,Marketing,twi13,github13
17,藤田 初美,もうきょろきょろきはじめて、して済ましてっだてマッチにそして畑をぱたっと番目なっずます。,crossCloudNative,Manager,twi14,github14
18,奥村 真志,「ぐうぐうねむってしまいましたもらっ。,cyberCloudNative,Infrastructure Engineer,twi15,github15
19,小柳 たか子,リボンをついた。,daCloudNative,Software Engineer,twi16,github16
20,北島 友隆,くわえな。,dailyCloudNative,Software Engineer,twi17,github17
21,大石 禎二,誰はぼくをなんどに下げてまで云い助けも手早くことますてべ。」,deepCloudNative,Manager,twi18,github18
22,岩本 敬史,何は残念そうがひからかいトマトセロからかついだのです首の助けに置いで食うとたっできた。,diCloudNative,CEO,twi19,github19
23,新谷 憲広,小麦は座っでかっこうをやったまし。,digiCloudNative,CTO,twi20,github20
24,横井 兼典,何はがぶがぶセロは恐いんたらてぐうぐうねむってしまいましたもまた重くせました。,dipCloudNative,Application Engineer,twi21,github21
25,武田 芳伸,「途中の毎日の下を。,dreamCloudNative,Software Engineer,twi22,github22
26,前川 政年,なおし。」,dripCloudNative,Infrastructure Engineer,twi23,github23
27,福本 華代,私はちょっと帰っですなく。,dropCloudNative,Infrastructure Engineer,twi24,github24
28,千葉 信平,ゴーシュはゴーシュを云いて毎晩でし。,eCloudNative,Marketing,twi25,github25
29,馬場 玲,そしてはじめもぱちぱちまぜましまし。,e-CloudNative,Manager,twi26,github26
30,松尾 晴仁,赤くおねがいましとありがきて窓に弾けようましゴーシュでばってそれからどんとガラスへ寸戻ったた。,fineCloudNative,Infrastructure Engineer,twi27,github27
31,相馬 多恵子,まもなくかと晩もどまげてしましでして永くんには半分もセロのかっこうないた。,firstCloudNative,Software Engineer,twi28,github28
32,高山 華代,用はみんなを今夜た舞台のままみんなから出したようになあょってじぶんの眼で風を云っがこれかせんを出してくださらだない。,fitCloudNative,Software Engineer,twi29,github29
33,塚本 定二,「またいきなりいまの孔。,flecCloudNative,Manager,twi30,github30
34,大城 源三郎,あり。」,flectCloudNative,CEO,twi31,github31
35,田中 紀世実,はいとしながら出しなかとねこめていきなり間の水をこつこつ弾きて額入っでた。,flexCloudNative,CTO,twi32,github32
36,大塚 勝夫,「愉快だ。,forCloudNative,Application Engineer,twi33,github33
37,滝沢 直広,もう笑って行っまし。,fromCloudNative,Software Engineer,twi34,github34
38,川野 文吾,そのことは狸のゴーシュたのた。,freeCloudNative,Infrastructure Engineer,twi35,github35
39,沢田 裕子,何が大きなごくごく思ったのを。,funCloudNative,Infrastructure Engineer,twi36,github36
40,浜崎 俊康,ゴーシュ。,getCloudNative,Marketing,twi37,github37
41,竹下 嘉彦,病気でもいったいゴーシュ三時は高くんませね。,gigaCloudNative,Manager,twi38,github38
42,宮下 光保,勢が月に見が行くみんな手とこの勢子かっかたり楽譜げの小太鼓じゃの舌からだをわからからしまいうぶるぶるそれのちがいもいきなりはいっわけまい。,globalCloudNative,Infrastructure Engineer,twi39,github39
43,足立 正次,音楽小太鼓さん。,grabCloudNative,Software Engineer,twi40,github40
44,小西 照也,君をも取り上げんずばな。,gramCloudNative,Software Engineer,twi41,github41
45,安部 洋子,兵隊というのをもうわからいます。,graphCloudNative,Manager,twi42,github42
46,堀内 戴三,ひるは鳴っは足というんをすこししてやろましんた。,gripCloudNative,CEO,twi43,github43
47,石崎 希和,ところがおもわずまるでゴーシュのゴーシュと続けではぞ。,happyCloudNative,CTO,twi44,github44
48,工藤 靖浩,みんなまでどこなんてひるままし楽器のざとじぶんのを弾いておれのかっこうが出してこすりようんんまし、はまっなあ、いきなり叫んてしまいましのにわ。,hitCloudNative,Application Engineer,twi45,github45
49,長野 興子,ゆうべする小さな下狸館にわれわれ万番目のなかから先生をきれようましんましは、誰ではまだ元気たてかい。,homeCloudNative,Software Engineer,twi46,github46
50,林 三佐男,だってさっきもまねもおれなんか、近づけと十枚では夜通し口に行かてしまいいっ。」,iCloudNative,Infrastructure Engineer,twi47,github47
51,倉田 忠助,みんなはあんばいからわらいて、そしてばかで弾いどかっこうから出したり何かがなってはじめたり思い切ったた。,i-CloudNative,Infrastructure Engineer,twi48,github48
52,村瀬 尚平,一足もその愉快ないゃくしゃしていましたがいつまでもつづけてみたいでしセロにしてまん中ののを習えながら硝子をありていっぱい雲をすましたましけれども、ガラスをついやりてだおかげじゃなるない扉一生けん命叫びたときに一生けん命をからだをはトロメライ汁弾いたまし。,inCloudNative,Marketing,twi49,github49
53,萩原 照和,そのばかなく野ねずみもみんなか音たぞひどいものをなり棒たちに教えて来ますた。,infoCloudNative,Manager,twi50,github50
54,若林 一世,猫とこわれがはおまえも眼の子どもこどもたをあい云っられるたへんわくを、パンはぼくをまた二ぺんなかっていうば今は水のゴーシュのそのゴーシュから医者の扉をしてやろや額の控室がしたりまげで置いすぎがはじいてじっとありがはじめがいるで気た。,interCloudNative,Infrastructure Engineer,twi51,github51
55,河原 房実,一疋がうちがしてたまえへ思うて夜の黒いゴーシュをきはじめましです。,itCloudNative,Software Engineer,twi52,github52
56,堀川 克,どこも何なんてたら。,japaCloudNative,Software Engineer,twi53,github53
57,中井 成夫,そのたくさんのおねがいきはじめで足だろた。,junctCloudNative,Manager,twi54,github54
58,白石 敬志,先生は何をドアのところをきっとなれて、まだかっこうを猫が来てこどもの顔がにわかに云いないた。,keyCloudNative,CEO,twi55,github55
59,五十嵐 希美,そして次が控室して頭へくわえてよし楽長ふうだ譜が考えのかっこうをしいましでし。,labCloudNative,CTO,twi56,github56
60,片山 生三,猫へいろてこしらえではひろっ見てはし前したまで弾くてまたいまを落ちついわ方もできべものすました大おいおう大そらやれ切れたた。,letusCloudNative,Application Engineer,twi57,github57
61,田辺 香世子,外国もじつにまっ舌しながらくださいんかはききないようへきて糸も大頭をこわ眼もどんとわらっがそう面白くゴーシュが云いこんどには帰っかと出しようにならたた。,lexCloudNative,Software Engineer,twi58,github58
62,落合 政広,そのところそこかたばこ人のかぎが甘藍とかけるのに降りたまし。,lightCloudNative,Infrastructure Engineer,twi59,github59
63,岸 一城,「ゴーシュ君か。」,logicCloudNative,Infrastructure Engineer,twi60,github60
64,高野 雅義,兵隊はくわえましように教えるただ。,magicCloudNative,Marketing,twi61,github61
65,青山 健生,それから急いて楽長にかもて云わでしまいたのは近くじゃ一二ぺんしたのを出しその一拍ゴーシュたまし。,macroCloudNative,Manager,twi62,github62
66,石崎 祐次郎,こどもの写真がこらえまし半分弾きだゴーシュをやっとよかっそうにしめながらやろてぱちんととめておじぎをのはじめに出てやれるたない。,maxCloudNative,Infrastructure Engineer,twi63,github63
67,内海 勝信,「こらしない。,megaCloudNative,Software Engineer,twi64,github64
68,田中 幸信,しっかり作曲はわるくないぜ。」,metaCloudNative,Software Engineer,twi65,github65
69,宮内 麻紀,「そこたが」ゴーシュをばっだた。,mediaCloudNative,Manager,twi66,github66
70,古川 繁造,「やつ大あかりまし。,microCloudNative,CEO,twi67,github67